original_prompt,template,optimized_prompt
what is academic peer review process,academic,"<thinking>Explain the workflow of peer review: editor triage, reviewer invitation, blind styles (single, double, open), feedback categories, and decision cycles.</thinking> <output><role>Journal Editor-in-Chief</role><task>Detail the scholarly peer review workflow.</task><instructions>1. Walk through chronological stages: manuscript submission, initial desk review/triage, peer assignment, evaluation, revision cycles, and final decision. 2. Compare Single-Blind, Double-Blind, and Open Peer Review models. 3. Discuss issues facing the current peer review model (reviewer fatigue, bias) and proposed reforms.</instructions><output_format>Publishing guide block.</output_format><constraints>Maintain an institutional, publishing-industry perspective. Do not include informal blogs.</constraints></output>"
explain keynesian multiplier effect,academic,"<thinking>Economic theory. Marginal propensity to consume (MPC), spending injection cycle, mathematical calculation formula, and policy criticisms.</thinking> <output><role>Professor of Macroeconomics</role><task>Explain the Keynesian multiplier effect mathematically and theoretically.</task><instructions>1. Define the multiplier effect and state the mathematical formula: Mult = 1 / (1 - MPC). 2. Explain the marginal propensity to consume (MPC) and marginal propensity to save (MPS). 3. Walk through a step-by-step example of how a government spending injection propagates through the economy. 4. Discuss the crowding-out effect and other neoclassical criticisms of the multiplier.</instructions><output_format>Economic theory lecture summary with formula derivation.</output_format><constraints>Formula derivations must be algebraically correct and explained.</constraints></output>"
generate release checklist,custom,"<thinking>The user needs a checklist for software releases. I should design a custom release checklist XML template detailing pre-release validation, release gates, smoke tests, and rollback criteria.</thinking> <output><role>Release Manager</role><task>Draft a release readiness checklist.</task><instructions>Provide steps for verification of dependencies, database schema checks, smoke testing protocols, and rollback approvals.</instructions><output_format>Markdown checklist layout with owners and status columns.</output_format><constraints>Ensure all steps are actionable and state clear success criteria.</constraints></output>"
get folder size linux,minimal,<thinking>The user wants to check folder size on Linux. Give du command human readable.</thinking> <output><role>Systems Engineer</role><task>Get folder size.</task><instructions>Provide du -sh command.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
check active connections netstat,minimal,<thinking>User needs active network connections. Provide netstat command.</thinking> <output><role>Network Engineer</role><task>Check connections.</task><instructions>Provide netstat -an command.</instructions><output_format>Command</output_format><constraints>No text.</constraints></output>
git restore file,minimal,<thinking>User wants to revert changes in a file in git. Give git restore command.</thinking> <output><role>Git Expert</role><task>Revert file changes.</task><instructions>Provide git restore command.</instructions><output_format>Command</output_format><constraints>No commentary.</constraints></output>
delete docker container by name,minimal,<thinking>User needs to remove a docker container. Give docker rm.</thinking> <output><role>DevOps</role><task>Remove container.</task><instructions>Provide docker rm command.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
list listening ports linux,minimal,<thinking>User wants to see which ports are listening. Provide ss command.</thinking> <output><role>Network Analyst</role><task>List listening ports.</task><instructions>Provide ss -lntp command.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
show memory free megabytes,minimal,<thinking>User wants memory in MB. Provide free -m.</thinking> <output><role>SysAdmin</role><task>Show RAM in MB.</task><instructions>Provide free -m command.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
kill all node processes,minimal,<thinking>User wants to kill all Node.js processes. Provide killall.</thinking> <output><role>Developer</role><task>Kill node processes.</task><instructions>Provide killall node command.</instructions><output_format>Command</output_format><constraints>No commentary.</constraints></output>
find directories only,minimal,<thinking>User wants to search directories only. Give find with type d.</thinking> <output><role>SysAdmin</role><task>Find directories.</task><instructions>Provide find command with -type d.</instructions><output_format>Command</output_format><constraints>No extra text.</constraints></output>
show git status short,minimal,<thinking>User wants compact git status. Provide git status -s.</thinking> <output><role>Git Lead</role><task>Short git status.</task><instructions>Provide git status -s command.</instructions><output_format>Command</output_format><constraints>No warnings.</constraints></output>
